Exit Velocity (MPH),Hits,BBE,AVG,wOBA,1B,2B,3B,HR,1B %,2B %,3B %,HR %
10,0,1,0,0,0,0,0,0,0,0,0,0
14,1,1,1,0.9,1,0,0,0,100,0,0,0
17,0,2,0,0,0,0,0,0,0,0,0,0
18,0,1,0,0,0,0,0,0,0,0,0,0
19,0,1,0,0,0,0,0,0,0,0,0,0
20,0,1,0,0,0,0,0,0,0,0,0,0
24,0,2,0,0,0,0,0,0,0,0,0,0
26,0,1,0,0,0,0,0,0,0,0,0,0
27,0,2,0,0,0,0,0,0,0,0,0,0
28,0,3,0,0,0,0,0,0,0,0,0,0
29,0,1,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0,0,0,0
31,2,3,0.667,0.6,2,0,0,0,66.7,0,0,0
32,2,5,0.4,0.36,2,0,0,0,40,0,0,0
33,1,5,0.2,0.18,1,0,0,0,20,0,0,0
34,1,1,1,0.9,1,0,0,0,100,0,0,0
35,2,6,0.333,0.3,2,0,0,0,33.3,0,0,0
36,1,6,0.167,0.15,1,0,0,0,16.7,0,0,0
37,2,2,1,0.9,2,0,0,0,100,0,0,0
38,0,6,0,0,0,0,0,0,0,0,0,0
39,2,7,0.286,0.257,2,0,0,0,28.6,0,0,0
40,1,8,0.125,0.113,1,0,0,0,12.5,0,0,0
41,2,10,0.2,0.18,2,0,0,0,20,0,0,0
42,1,9,0.111,0.2,1,0,0,0,11.1,0,0,0
43,1,7,0.143,0.257,1,0,0,0,14.3,0,0,0
44,1,11,0.091,0.082,1,0,0,0,9.1,0,0,0
45,2,21,0.095,0.086,2,0,0,0,9.5,0,0,0
46,0,19,0,0,0,0,0,0,0,0,0,0
47,2,14,0.143,0.129,2,0,0,0,14.3,0,0,0
48,4,30,0.133,0.12,4,0,0,0,13.3,0,0,0
49,4,27,0.148,0.133,4,0,0,0,14.8,0,0,0
50,4,22,0.182,0.164,4,0,0,0,18.2,0,0,0
51,4,33,0.121,0.109,4,0,0,0,12.1,0,0,0
52,6,34,0.176,0.159,6,0,0,0,17.6,0,0,0
53,5,33,0.152,0.136,5,0,0,0,15.2,0,0,0
54,7,38,0.184,0.166,7,0,0,0,18.4,0,0,0
55,8,44,0.182,0.192,7,1,0,0,15.9,2.3,0,0
56,3,49,0.061,0.092,3,0,0,0,6.1,0,0,0
57,7,52,0.135,0.138,7,0,0,0,13.5,0,0,0
58,9,73,0.123,0.116,8,1,0,0,11,1.4,0,0
59,7,62,0.113,0.113,5,2,0,0,8.1,3.2,0,0
60,14,80,0.175,0.173,13,1,0,0,16.3,1.3,0,0
61,10,68,0.147,0.151,9,1,0,0,13.2,1.5,0,0
62,15,77,0.195,0.219,13,2,0,0,16.9,2.6,0,0
63,14,83,0.169,0.175,11,3,0,0,13.3,3.6,0,0
64,24,106,0.226,0.224,23,1,0,0,21.7,0.9,0,0
65,22,118,0.186,0.178,21,1,0,0,17.8,0.8,0,0
66,26,127,0.205,0.207,23,3,0,0,18.1,2.4,0,0
67,25,129,0.194,0.209,25,0,0,0,19.4,0,0,0
68,30,131,0.229,0.209,29,1,0,0,22.1,0.8,0,0
69,41,155,0.265,0.254,39,2,0,0,25.2,1.3,0,0
70,41,166,0.247,0.247,37,4,0,0,22.3,2.4,0,0
71,54,199,0.271,0.256,50,4,0,0,25.1,2,0,0
72,54,187,0.289,0.3,48,6,0,0,25.7,3.2,0,0
73,51,211,0.242,0.244,48,3,0,0,22.7,1.4,0,0
74,49,218,0.225,0.242,42,7,0,0,19.3,3.2,0,0
75,65,263,0.247,0.241,61,4,0,0,23.2,1.5,0,0
76,45,247,0.182,0.177,41,4,0,0,16.6,1.6,0,0
77,55,246,0.224,0.221,47,7,1,0,19.1,2.8,0.4,0
78,58,288,0.201,0.196,51,7,0,0,17.7,2.4,0,0
79,62,280,0.221,0.208,58,4,0,0,20.7,1.4,0,0
80,55,263,0.209,0.213,47,8,0,0,17.9,3,0,0
81,54,303,0.178,0.179,46,8,0,0,15.2,2.6,0,0
82,70,341,0.205,0.196,60,9,1,0,17.6,2.6,0.3,0
83,67,324,0.207,0.215,54,10,3,0,16.7,3.1,0.9,0
84,66,349,0.189,0.182,58,7,1,0,16.6,2,0.3,0
85,88,408,0.216,0.222,73,13,2,0,17.9,3.2,0.5,0
86,65,374,0.174,0.184,52,12,1,0,13.9,3.2,0.3,0
87,59,378,0.156,0.167,44,12,3,0,11.6,3.2,0.8,0
88,72,400,0.18,0.181,58,14,0,0,14.5,3.5,0,0
89,110,449,0.245,0.264,85,22,3,0,18.9,4.9,0.7,0
90,118,488,0.242,0.248,88,28,2,0,18,5.7,0.4,0
91,101,469,0.215,0.215,84,16,1,0,17.9,3.4,0.2,0
92,113,498,0.227,0.227,93,16,4,0,18.7,3.2,0.8,0
93,104,445,0.234,0.248,75,24,4,1,16.9,5.4,0.9,0.2
94,94,458,0.205,0.223,63,23,7,1,13.8,5,1.5,0.2
95,135,528,0.256,0.291,92,29,6,8,17.4,5.5,1.1,1.5
96,147,531,0.277,0.319,96,32,5,14,18.1,6,0.9,2.6
97,151,496,0.304,0.331,104,34,4,9,21,6.9,0.8,1.8
98,192,523,0.367,0.44,116,44,8,24,22.2,8.4,1.5,4.6
99,184,557,0.33,0.396,103,49,3,29,18.5,8.8,0.5,5.2
100,196,525,0.373,0.476,99,49,3,45,18.9,9.3,0.6,8.6
101,242,537,0.451,0.557,131,61,5,45,24.4,11.4,0.9,8.4
102,253,498,0.508,0.643,120,73,6,54,24.1,14.7,1.2,10.8
103,249,463,0.538,0.689,124,56,10,59,26.8,12.1,2.2,12.7
104,252,439,0.574,0.763,114,56,6,76,26,12.8,1.4,17.3
105,244,398,0.613,0.834,105,56,5,78,26.4,14.1,1.3,19.6
106,238,397,0.599,0.831,97,55,2,84,24.4,13.9,0.5,21.2
107,188,291,0.646,0.846,98,30,3,57,33.7,10.3,1,19.6
108,163,243,0.671,0.905,81,22,6,54,33.3,9.1,2.5,22.2
109,135,197,0.685,0.947,61,23,2,49,31,11.7,1,24.9
110,112,154,0.727,1.026,44,27,0,41,28.6,17.5,0,26.6
111,91,116,0.784,1.108,37,17,0,37,31.9,14.7,0,31.9
112,63,79,0.797,1.062,26,18,0,19,32.9,22.8,0,24.1
113,38,40,0.95,1.29,14,12,0,12,35,30,0,30
114,28,35,0.8,1.104,11,7,0,10,31.4,20,0,28.6
115,13,19,0.684,0.903,6,3,0,4,31.6,15.8,0,21.1
116,14,17,0.824,1.215,6,1,0,7,35.3,5.9,0,41.2
117,3,5,0.6,1.05,0,1,0,2,0,20,0,40
118,1,1,1,2,0,0,0,1,0,0,0,100
119,2,3,0.667,0.717,1,1,0,0,33.3,33.3,0,0
120,2,2,1,0.9,2,0,0,0,100,0,0,0
