Launch Angle (Deg),Hits,BBE,AVG,wOBA,1B,2B,3B,HR,1B %,2B %,3B %,HR %
-87,1,3,0.333,0.3,1,0,0,0,33.3,0,0,0
-86,1,2,0.5,0.45,1,0,0,0,50,0,0,0
-84,2,6,0.333,0.45,2,0,0,0,33.3,0,0,0
-83,2,5,0.4,0.36,2,0,0,0,40,0,0,0
-82,2,7,0.286,0.257,2,0,0,0,28.6,0,0,0
-81,1,8,0.125,0.113,1,0,0,0,12.5,0,0,0
-80,1,6,0.167,0.15,1,0,0,0,16.7,0,0,0
-79,4,14,0.286,0.257,4,0,0,0,28.6,0,0,0
-78,3,9,0.333,0.3,3,0,0,0,33.3,0,0,0
-77,7,15,0.467,0.42,7,0,0,0,46.7,0,0,0
-76,1,14,0.071,0.193,1,0,0,0,7.1,0,0,0
-75,3,13,0.231,0.277,3,0,0,0,23.1,0,0,0
-74,5,19,0.263,0.284,5,0,0,0,26.3,0,0,0
-73,7,26,0.269,0.256,6,1,0,0,23.1,3.8,0,0
-72,4,16,0.25,0.225,4,0,0,0,25,0,0,0
-71,3,15,0.2,0.18,3,0,0,0,20,0,0,0
-70,7,26,0.269,0.277,7,0,0,0,26.9,0,0,0
-69,7,20,0.35,0.315,7,0,0,0,35,0,0,0
-68,7,28,0.25,0.257,7,0,0,0,25,0,0,0
-67,7,33,0.212,0.273,7,0,0,0,21.2,0,0,0
-66,6,31,0.194,0.174,6,0,0,0,19.4,0,0,0
-65,4,24,0.167,0.15,4,0,0,0,16.7,0,0,0
-64,13,44,0.295,0.286,13,0,0,0,29.5,0,0,0
-63,10,45,0.222,0.22,10,0,0,0,22.2,0,0,0
-62,9,40,0.225,0.248,9,0,0,0,22.5,0,0,0
-61,13,50,0.26,0.241,12,1,0,0,24,2,0,0
-60,12,51,0.235,0.212,12,0,0,0,23.5,0,0,0
-59,8,55,0.145,0.147,8,0,0,0,14.5,0,0,0
-58,13,61,0.213,0.251,13,0,0,0,21.3,0,0,0
-57,18,79,0.228,0.205,18,0,0,0,22.8,0,0,0
-56,17,72,0.236,0.213,17,0,0,0,23.6,0,0,0
-55,22,84,0.262,0.268,22,0,0,0,26.2,0,0,0
-54,9,87,0.103,0.103,9,0,0,0,10.3,0,0,0
-53,15,86,0.174,0.157,15,0,0,0,17.4,0,0,0
-52,18,106,0.17,0.195,18,0,0,0,17,0,0,0
-51,15,101,0.149,0.16,15,0,0,0,14.9,0,0,0
-50,16,111,0.144,0.17,16,0,0,0,14.4,0,0,0
-49,18,106,0.17,0.187,18,0,0,0,17,0,0,0
-48,17,130,0.131,0.132,17,0,0,0,13.1,0,0,0
-47,9,136,0.066,0.079,9,0,0,0,6.6,0,0,0
-46,12,144,0.083,0.106,12,0,0,0,8.3,0,0,0
-45,15,150,0.1,0.12,15,0,0,0,10,0,0,0
-44,18,142,0.127,0.133,18,0,0,0,12.7,0,0,0
-43,18,179,0.101,0.108,17,1,0,0,9.5,0.6,0,0
-42,14,176,0.08,0.109,13,1,0,0,7.4,0.6,0,0
-41,16,214,0.075,0.084,16,0,0,0,7.5,0,0,0
-40,13,234,0.056,0.076,11,2,0,0,4.7,0.9,0,0
